,Food,Food: Vegetables & Fruits,"Food: Fish, Seafood & Preparations",Food: Meat & Meat Preparations,"Food: Coffee, Tea, Spices & Manufactures",BeveragesTobacco (BT),BT: Beverages,BT: Tobacco & Manufactures,Crude Materials (CM),CM: Metalliferous Ores & Metal Scrap,CM: Crude Rubber,CM: Crude Minerals & Fertilisers,CM: Crude Vegetable & Animal Materials,Mineral Fuels,Mineral Fuels: Petroleum & Pdt & Related Materials,Mineral Fuels: Petroleum,Mineral Fuels: Coal: Coke,Mineral Fuels: Gas,AnimalVegetable Oils (AV),AV: Animal or Vegetable Fats & Oils Nes,AV: Fixed Vegetables Fats & Oils,ChemicalsChemical Products (CH),CH: Medicinal & Pharmaceutical Products,CH: Organic Chemicals,CH: Plastics in Primary Forms,CH: Plastics in Non-primary Forms ,CH: Essential Oils & Resinoids & Perfume Materials,Manufactured Goods (MG),MG: Iron & Steels,MG: Metal Manufactures,MG: Non-ferrous Metals,MG: Non-metallic Mineral Manufactures,MG: Paper & Paperboard ,MG: Rubber Manufactures,MG: Textile Manufactures,MachineryTransport Equipment (MT),MT: Office & Automatic Data-processing Machines ,MT: Telecommunications & Reproducing Apparatus & Equip ,MT: Electrical Machinery Apparatus & Appliances Nes ,MT: Electronics Valves,MT: Parts for Office & DP Machines,MT: Communication Equipment,MT: Electrical Machinery,MT: Electrical Circuit Apparatus,Miscellaneous Manufactured Articles (MM),MM: Disc Media Products & Plastic Articles,MM: Scientific Instruments & Apparatus,"MM: Photographic Supplies, Watches & Optical Goods",MM: Articles of Apparel & Clothing Accessories ,MM: Footwear,Miscellaneous Manufactured Articles Nes,Miscellaneous Transactions Nes,(DC)MT: Data Processing Machines
May-97,439.254,97.294,77.029,32.682,54.228,201.478,74.792,126.686,147.138,15.479,31.881,28.492,18.072,1794.251,1792.684,1792.684,0.104,1.463,46.231,5.727,40.223,896.52,92.83,194.87,159.71,66.685,102.691,1572.652,326.74,286.639,249.577,238.709,114.144,72.039,238.345,9283.1,2075.175,971.548,3614.326,,,,,,1655.846,602.015,392.692,278.289,220.176,37.211,602.015,252.589,
Jun-97,425.198,100.843,80.968,32.314,44.623,176.224,64.579,111.646,132.268,12.778,28.503,24.829,20.296,1677.225,1676.66,1676.66,0.355,0.211,43.382,5.154,37.959,944.923,87.779,178.695,225.358,62.319,95.576,1616.312,291.757,295.685,277.084,279.285,114.746,75.115,239.966,9030.262,2073.654,967.072,3614.137,,,,,,1657.684,620.944,372.856,291.27,208.642,39.379,620.944,219.731,
Jul-97,445.691,101.681,70.149,36.126,46.827,196.701,71.39,125.31,154.351,16.025,32.675,31.25,17.894,1394.228,1393.281,1393.281,0.376,0.571,48.942,5.253,43.441,1032.586,138.041,217.976,177.493,70.105,110.213,1900.408,390.067,320.861,395.85,287.296,129.481,78.268,248.307,10189.877,2144.519,1088.201,3826.799,,,,,,1958.41,831.125,399.011,300.004,242.046,42.474,831.125,226.343,
Aug-97,426.067,97.8,66.264,31.658,52.224,202.725,69.71,133.015,148.062,14.776,32.112,27.931,21.074,1363.399,1363.079,1363.079,0.033,0.288,50.537,5.509,44.896,976.852,95.997,214.031,158.228,63.71,104.207,1659.625,336.844,317.53,295.514,235.396,128.137,67.334,233.614,9781.002,2166.312,999.388,3922.701,,,,,,1719.261,643.743,372.175,272.319,255.848,42.889,643.743,218.522,
Sep-97,434.766,96.872,76.796,36.551,48.224,233.226,84.247,148.979,156.331,26.373,34.289,24.236,20.42,1544.204,1544.057,1544.057,0.029,0.118,37.821,5.728,31.814,1019.147,95.233,233.061,172.066,64.416,105.386,1872.846,401.507,316.794,410.877,273.781,123.265,65.688,231.826,10068.68,2155.799,1019.663,3995.024,,,,,,1804.902,654.477,428.991,285.509,259.566,48.159,654.477,240.191,
Oct-97,447.426,93.989,91.561,32.243,49.909,252.315,90.135,162.18,142.713,15.417,38.563,19.262,18.35,1597.293,1596.792,1596.792,0.098,0.402,48.593,6.232,42.2,1000.069,91.208,203.748,177.178,68.735,101.87,1791.934,392.679,332.114,359.031,242.881,123.465,67.198,227.007,10297.289,2221.726,1028.4,4030.151,,,,,,1780.884,653.167,371.302,330.527,249.734,41.5,653.167,265.384,
Nov-97,444.127,91.225,82.843,30.924,42.057,275.405,104.61,170.796,138.497,12.387,36.597,21.406,19.216,1480.951,1480.737,1480.737,0.127,0.087,39.193,4.853,34.11,899.354,83.562,204.456,145.363,63.443,92.999,1641.737,382.396,318.861,269.878,255.233,105.654,65.978,203.079,9834.323,2150.083,922.802,3913.16,,,,,,1797.023,678.496,385.569,323.509,237.124,37.873,678.496,225.222,
Dec-97,479.307,107.069,96.433,38.935,56.805,252.744,74.006,178.738,163.53,19.71,50.5,22.018,24.191,1649.308,1649.004,1649.004,0.046,0.258,49.859,5.041,44.477,1030.019,71.891,187.765,196.06,75.346,106.983,1720.014,479.906,334.582,231.306,252.64,114.585,73.148,190.606,10037.102,2202.449,960.967,3918.664,,,,,,1889.223,629.886,429.496,376.897,259.383,42.684,629.886,231.621,
Jan-98,374.135,92.94,72.754,33.598,37.271,225.963,61.348,164.614,128.835,15.399,36.067,19.75,19.335,1286.726,1286.283,1286.283,0.215,0.228,43.124,3.26,39.693,891.502,93.468,205.017,127.048,57.28,79.386,1335.094,364.028,262.096,214.816,185.58,91.945,48.092,132.529,7933.934,1695.745,746.511,3515.422,,,,,,1407.136,485.628,343.478,240.7,195.75,35.117,485.628,204.101,
Feb-98,326.421,66.454,58.667,25.354,36.12,164.079,47.748,116.331,120.828,10.681,43.756,17.236,15.341,1231.839,1231.214,1231.214,0.336,0.289,36.221,3.673,32.058,891.743,92.348,183.492,151.625,61.946,97.276,1290.205,370.525,261.739,187.38,170.542,95.26,51.29,126.081,9129.574,1903.022,761.73,3716.95,,,,,,1379.058,451.043,346.789,300.988,161.799,26.078,451.043,196.792,
Mar-98,398.331,88.57,60.691,29.824,54.264,162.337,58.294,104.043,120.408,14.287,30.854,20.165,16.541,1092.143,1091.869,1091.869,0.021,0.253,38.25,5.95,31.954,879.463,86.553,197.084,147.928,61.953,88.699,1352.619,331.119,289.845,202.021,192.387,98.792,57.837,150.446,10320.8,2123.844,817.577,3792.724,,,,,,1535.971,554.553,374.608,294.85,184.781,25.916,554.553,160.861,
Apr-98,374.661,85.566,52.607,31.462,57.964,194.945,54.36,140.586,104.608,8.85,24.698,19.043,15.912,1151.333,1150.698,1150.698,0.288,0.347,34.36,4.424,29.588,823.842,82.424,171.258,142.423,60.923,84.141,1278.993,314.819,284.868,175.518,171.892,95.179,52.726,158.678,8410.743,1780.166,765.882,3522.034,,,,,,1411.327,531.667,365.476,222.598,176.691,24.955,531.667,173.942,
May-98,372.611,81.153,58.673,29.313,47.132,187.032,52.178,134.855,117.163,15.789,29.142,23.287,14.039,1095.225,1094.961,1094.961,0.118,0.146,39.956,8.925,30.748,780.533,62.86,180.828,130.418,56.211,86.519,1193.048,237.958,268.449,171.93,191.153,94.663,47.686,153.023,7691.734,1830.126,660.923,3381.674,,,,,,1320.922,493.672,315.024,221.723,187.459,20.184,493.672,165.658,
Jun-98,377.306,92.163,56.849,31.279,52.322,202.477,53.854,148.623,114.495,8.662,26.275,26.6,13.804,1168.262,1168.065,1168.065,0.05,0.146,50.766,7.111,43.425,885.91,79.485,194.507,149.618,59.106,93.32,1292.566,265.236,297.1,204.76,167.482,105.917,56.106,166.413,8792.93,1957.556,729.114,3571.605,,,,,,1407.007,503.609,326.121,249.419,200.415,23.478,503.609,176.346,
Jul-98,402.655,91.686,62.091,28.382,54.102,238.621,67.49,171.131,117.148,10.186,29.58,23.896,17.584,1283.533,1283.329,1283.329,0.048,0.156,40.398,5.419,34.747,970.476,81.347,186.535,150.917,60.501,95.73,1277.138,269.387,290.843,190.922,168.688,111.849,60.281,158.685,8733.733,1727.203,771.268,3804.108,,,,,,1449.723,508.402,337.97,273.957,214.247,27.323,508.402,221.599,
Aug-98,381.631,83.128,55.174,27.006,47.814,166.471,61.234,105.236,107.153,12.825,26.845,20.187,12.924,1121.345,1120.926,1120.926,0.094,0.324,44.648,4.51,39.889,861.479,76.735,188.165,125.397,57.463,84.195,1255.957,248.696,252.948,258.757,165.672,104.38,59.822,138.678,8461.167,1918.896,718.279,3562.408,,,,,,1368.605,485.448,306.258,233.023,221.993,30.192,485.448,236.61,
Sep-98,350.265,87.545,55.626,27.815,30.696,166.459,51.608,114.851,103.075,10.901,25.165,19.392,13.684,1055.423,1055.254,1055.254,0.078,0.091,50.716,8.374,42.199,889.087,84.559,189.811,140.626,53.871,87.322,1268.987,202.522,276.024,300.687,162.714,97.75,58.697,143.247,8504.138,2024.858,786.999,3738.15,,,,,,1407.16,536.312,297.524,262.617,205.872,19.997,536.312,263.501,
Oct-98,365.809,80.484,49.305,30.736,39.542,214.274,62.458,151.815,114.998,12.218,29.192,21.688,16.88,1002.068,1001.873,1001.873,0.016,0.179,44.219,4.9,38.977,812.617,87.281,165.971,139.837,53.856,88.992,1246.104,230.435,288.52,234.126,181.065,90.522,49.464,137.604,8104.108,1819.357,749.673,3707.715,,,,,,1411.848,540.905,309.53,250.323,195.715,19.789,540.905,271.079,
Nov-98,353.611,79.61,51.426,32.592,40.434,164.231,47.674,116.557,110.057,11.144,30.082,16.148,16.251,1177.73,1177.59,1177.59,0.02,0.121,44.029,5.351,38.15,739.821,74.698,170.213,127.646,50.145,84.342,1119.464,195.74,253.233,201.571,154.022,92.112,49.321,139.517,7801.173,1740.805,639.216,3574.461,,,,,,1362.996,539.835,276.989,231.959,184.63,21.953,539.835,220.431,
Dec-98,437.576,93.501,60.415,38.937,48.837,219.884,88.362,131.521,108.235,7.072,27.06,20.025,15.547,981.311,981.099,981.099,0.117,0.095,57.057,6.373,50.594,853.9,87.776,209.058,145.97,57.653,88.149,1170.314,204.732,275.153,195.993,166.164,92.974,53.162,145.657,8807.556,1894.101,755.254,3845.749,,,,,,1480.597,554.497,277.198,275.925,226.021,32.235,554.497,218.3,
Jan-99,387.712,92.054,61.793,30.721,39.725,184.256,43.728,140.527,117.449,14.258,34.002,19.031,17.02,867.844,867.822,867.822,0.044,0.109,32.71,0.38,31.951,723.727,87.263,145.862,118.192,44.543,77.631,1014.178,192.893,235.809,162.482,142.54,84.829,46.02,118.786,8029.998,1492.858,886.176,3582.05,,,,,,1383.959,575.672,257.966,217.486,194.99,28.636,575.672,250.416,
Feb-99,331.945,76.824,50.162,25.043,36.509,150.473,55.595,94.878,94.27,7.056,27.159,18.54,13.111,932.876,932.675,932.675,0.051,0.196,30.832,0.528,30.033,766.522,83.638,165.386,129.561,49.967,81.801,917.613,181.879,223.087,146.17,120.284,70.596,49.9,102.941,7295.88,1366.722,892.586,3393.43,,,,,,1256.746,430.463,325.148,225.055,161.57,22.837,430.463,220.458,
Mar-99,405.956,90.796,55.866,34.171,54.147,148.577,63.263,85.314,111.829,8.232,28.401,26.308,15.891,1228.196,1227.845,1227.845,0.108,0.269,50.295,0.721,49.181,968.903,120.571,183.447,157.376,61.404,98.056,1256.679,247.055,274.354,199.283,181.472,105.324,66.998,147.988,9124.032,1833.723,1079.531,4091.672,,,,,,1628.863,590.716,388.247,321.858,182.692,25.386,590.716,311.664,
Apr-99,404.783,87.441,51.614,46.217,62.519,179.234,57.608,121.626,121.305,20.111,24.123,24.762,15.771,1549.876,1549.607,1549.607,0.063,0.258,38.607,1.218,36.878,992.591,126.521,209.248,172.993,62.628,105.387,1163.258,209.049,265.702,159.391,160.906,100.753,64.429,163.79,8990.315,1635.935,1168.77,4035.312,,,,,,1519.308,557.347,358.51,282.173,196.078,25.371,557.347,295.455,
May-99,409.337,85.836,55.902,49.888,59.672,151.526,52.943,98.583,112.62,12.048,18.719,30.488,15.005,1288.166,1288.051,1288.051,0.05,0.074,37.022,0.459,36.005,908.165,93.831,147.807,172.215,60.83,108.13,1218.137,247.833,266.255,169.699,160.42,100.178,76.068,160.014,9116.987,1799.071,1152.341,4057.131,,,,,,1543.417,566.43,371.817,260.502,209.063,26.29,566.43,224.531,
Jun-99,437.243,89.97,68.716,56.631,58.603,183.194,71.283,111.911,118.128,19.997,20.518,24.326,15.973,1212.022,1211.678,1211.678,0.059,0.381,42.335,0.944,40.757,922.106,99.664,170.33,171.372,64.649,117.239,1252.931,232.422,280.059,172.182,183.269,109.619,63.999,169.893,9715.647,1874.708,1228.705,4051.04,,,,,,1622.832,545.473,403.374,276.89,238.302,31.834,545.473,232.106,
Jul-99,460.997,103.633,77.657,48.758,56.966,166.903,82.285,84.618,113.268,11.132,18.17,28.247,15.784,1478.015,1476.752,1476.752,0.019,1.331,44.299,0.551,43.395,1008.786,114.108,238.192,169.843,67.909,110.802,1305.002,215.497,281.667,202.975,202.338,115.468,68.879,175.596,10060.878,1727.565,1217.801,4418.381,,,,,,1764.893,597.472,436.526,278.585,279.316,38.401,597.472,296.518,
Aug-99,436.721,92.277,75.065,49.677,63.735,144.569,76.418,68.151,115.535,6.346,22.707,28.928,15.548,1367.657,1367.498,1367.498,0.05,0.145,34.686,0.816,33.052,970.999,111.936,195.609,172.494,69.015,110.084,1245.798,227.497,281.871,190.126,170.28,103.351,60.049,172.269,10202.985,1667.947,1158.319,4318.087,,,,,,1695.834,548.964,438.463,286.707,267.32,30.271,548.964,292.797,
Sep-99,423.188,82.702,70.826,44.663,57.905,146.632,60.686,85.947,122.799,14.751,21.267,30.34,15.941,1694.532,1693.348,1693.348,0.003,1.205,38.239,0.54,37.144,974.876,107.369,185.144,180.035,62.232,102.109,1396.349,240.634,302.839,283.554,189.782,107.86,60.657,174.576,9708.835,1630.405,1215.474,4534.641,,,,,,1685.232,543.469,442.332,295.239,266.473,29.356,543.469,253.598,
Oct-99,403.172,84.258,66.645,42.918,47.666,150.812,69.189,81.623,124.087,14.606,26.266,27.224,15.861,1700.353,1700.103,1700.103,0.165,0.15,32.267,0.426,31.483,998.334,119.781,207.67,179.15,66.462,115.025,1360.269,239.863,288.95,234.156,209.761,111.306,71.76,166.73,10221.029,1661.539,1260.72,4790.469,,,,,,1682.577,540.343,423.172,325.83,257.439,27.794,540.343,285.712,
Nov-99,420.267,91.793,81.806,49.511,42.968,182.534,78.3,104.234,160.209,20.814,47.226,25.962,20.309,2041.803,2041.601,2041.601,0.044,0.16,35.776,0.412,34.703,1025.051,111.069,225.253,180.102,62.76,114.796,1341.518,250.282,295.016,231.211,188.416,101.264,64.593,168.502,10115.192,1719.424,1333.614,4942.181,,,,,,1810.803,571.945,483.894,331.582,261.082,35.51,571.945,241.47,
Dec-99,462.744,101.48,86.219,51.869,44.668,175.436,71.779,103.657,158.955,14.365,44.803,31.182,17.656,1713.997,1713.802,1713.802,0.059,0.176,37.051,0.463,35.967,1093.523,122.07,259.643,197.062,73.03,106.934,1390.371,259.013,294.199,234.425,207.001,110.475,67.389,173.302,10659.908,1774.886,1377.604,5205.582,,,,,,1967.508,608.037,522.48,372.045,280.51,38.974,608.037,268.756,
Jan-00,430.259,102.596,82.503,46.637,44.307,137.81,65.797,72.013,142.739,21.637,37.525,27.608,21.383,2130.677,2130.584,2130.584,0.022,0.107,29.351,0.432,28.371,913.533,95.473,174.151,173.826,60.001,91.486,1181.211,236.184,234.832,203.325,182.965,90.821,54.845,139.121,8958.477,1417.439,1106.082,4506.975,,,,,,1688.722,484.064,519.035,274.721,251.342,39.787,484.064,251.038,
Feb-00,352.112,62.327,59.613,42.468,53.431,106.281,54.74,51.541,110.806,7.493,37.372,22.676,14.342,1778.3,1778.198,1778.198,0.065,0.093,25.686,0.312,24.715,917.457,102.843,150.49,183.372,62.425,96.222,1114.477,221.819,231.041,185.141,166.643,86.409,58.082,131.178,9385.702,1476.651,1123.002,4753.765,,,,,,1545.15,431.04,534.252,285.963,178.777,25.302,431.04,221.212,
Mar-00,463.407,82.766,76.708,51.106,82.319,158.74,64.394,94.346,160.919,33.781,37.979,30.519,15.726,1727.46,1727.304,1727.304,0.033,0.187,37.278,0.517,36.092,1149.833,107.695,222.635,207.446,74.527,115.227,1413.839,265.921,282.97,240.865,201.97,121.45,72.208,188.826,11367.644,1913.791,1452.225,5383.595,,,,,,2012.678,589.716,663.029,370.229,239.132,35.433,589.716,212.376,
Apr-00,396.139,77.447,67.573,50.651,52.834,129.277,58.061,71.216,116.118,15.735,25.013,26.286,15.703,2150.104,2150.069,2150.069,0.004,0.146,28.378,0.578,26.798,1110.808,102.288,231.702,201.46,72.305,108.332,1374.195,244.808,273.926,257.219,195.993,102.761,67.636,194.097,10243.692,1709.773,1312.028,4994.625,,,,,,1775.099,560.079,500.414,343.581,228.379,29.923,560.079,240.727,
May-00,435.531,84.675,74.035,51.151,64.531,163.901,65.326,98.575,116.055,6.956,23.901,29.9,17.804,2360.7,2360.572,2360.572,0.037,0.156,28.095,0.695,26.605,1155.355,116.332,227.704,208.395,76.874,119.747,1398.216,257.937,268.942,215.211,199.941,129.518,68.855,212.004,10977.768,1759.854,1446.314,5358.036,,,,,,1849.425,590.888,493.466,345.645,265.244,34.733,590.888,184.459,
Jun-00,429.32,90.9,81.539,47.555,50.831,145.666,59.769,85.897,148.431,14.802,20.469,59.512,14.468,2834.787,2834.752,2834.752,0.027,0.153,31.465,0.787,29.695,1104.064,101.439,204.793,213.696,77.449,123.123,1367.603,254.908,267.303,213.814,182.509,129.282,66.615,210.064,12112.367,1916.836,1620.338,5858.29,,,,,,1877.368,544.048,529.804,353.529,282.43,40.589,544.048,229.862,
Jul-00,440.152,92.344,88.775,47.35,43.023,173.789,81.203,92.586,152.373,10.985,22.288,60.355,16.365,1706.135,1706.113,1706.113,0.031,0.257,31.436,0.609,29.741,1174.573,109.227,260.962,208.066,82.818,120.01,1439.501,259.935,302.369,224.154,205.202,130.863,71.043,203.678,12577.541,1951.891,1599.94,6172.382,,,,,,1897.984,568.416,517.176,332.631,313.151,40.727,568.416,271.687,
Aug-00,444.991,93.791,86.509,50.647,42.349,202.4,93.112,109.289,157.981,21.992,21.364,58.166,18.133,2438.152,2438.057,2438.057,0.029,0.12,27.298,0.864,25.2,1205.144,115.046,217.874,236.262,76.149,128.059,1439.289,264.541,279.961,265.86,184.071,129.281,71.995,204.76,12930.36,1959.869,1621.818,6579.433,5038.5,1524.7,813,573.9,570.7,1877.773,579.823,438.668,345.183,338.507,46.009,579.823,194.033,923.3
Sep-00,422.985,83.802,79.147,49.525,48.557,181.532,84.067,97.464,157.571,14.8,21.569,67.481,17.422,2518.308,2518.182,2518.182,0.019,0.208,26.091,0.58,24.858,1202.481,109.878,228.62,222.185,78.444,113.594,1357.228,221.521,280.575,239.508,202.44,114.487,67.467,189.187,13468.109,2114.689,1645.473,6683.2,5152.422,1591.541,787.584,571.676,571.657,1780.335,580.552,412.987,326.839,302.083,47.697,580.552,210.37,1059.713
Oct-00,430.433,94.637,78.301,48.408,41.483,183.32,69.485,113.835,174.545,27.833,26.322,63.709,17.291,2803.3,2803.233,2803.233,0.019,0.083,23.546,0.932,21.737,1218.838,114.733,260.756,229.424,79.532,122.934,1397.822,232.399,302.788,252.466,189.548,120.71,66.559,192.488,13128.618,2111.49,1587.208,6615.807,5041.607,1580.57,794.575,581.437,556.301,1810.395,566.522,414.503,380.189,278.414,35.438,566.522,229.185,1000.856
Nov-00,436.599,88.362,87.997,50.068,45.304,202.742,89.905,112.837,158.711,21.827,30.757,51.524,15.972,2582.795,2582.712,2582.712,0.021,0.107,28.908,0.776,27.263,1180.113,94.582,278.577,221.722,82.559,122.68,1456.013,247.426,286.507,297.79,195.081,123.958,70.566,185.174,12994.717,2253.87,1678.463,6408.993,4934.578,1646.95,819.81,561.573,544.072,1783.111,558.167,399.677,369.514,270.403,41.142,558.167,217.919,1086.004
Dec-00,441.249,95.817,90.573,50.875,38.674,165.835,78.059,87.775,177.179,24.539,27.967,73.339,17.704,2956.571,2956.358,2956.358,0.022,0.279,25.476,0.47,23.964,1082.374,100.727,191.695,206.227,74.746,114.627,1318.815,255.052,274.224,227.222,197.174,111.023,61.957,148.709,12824.796,2361.331,1501.687,6319.592,4889.091,1569.481,767.164,582.416,518.347,1804.27,522.055,438.941,360.545,298.402,39.175,522.055,188.068,1197.878
Jan-01,450.388,92.552,79.539,46.337,56.499,159.421,64.596,94.824,150.877,25.346,30.667,51.168,18.234,2006.061,2005.94,2005.94,0.1,0.162,23.926,0.412,21.899,1137.331,107.428,288.707,184.24,61.694,109.556,1185.205,230.513,263.793,218.218,156.143,110.287,50.667,124.491,10817.414,1795.402,1268.945,5437.772,4228.983,1320.523,649.222,459.693,445.217,1497.379,484.128,334.659,272.639,245.064,39.112,484.128,184.472,837.809
Feb-01,361.662,66.028,56.544,40.3,57.054,175.692,61.647,114.045,102.068,15.167,26.156,16.96,15.814,2539.44,2539.052,2539.052,0.025,0.437,25.364,0.418,24.063,1020.735,95.58,225.173,164.417,63.068,112.929,1280.746,213.539,232.405,332.499,182.538,108.521,50.019,125.392,10783.791,1804.974,1389.711,4929.552,3848.24,1283.46,750.918,406.743,403.199,1460.763,456.305,339.053,319.995,215.605,34.088,456.305,202.176,863.128
Mar-01,441.776,85.172,74.141,50.423,75.613,158.707,76.768,81.94,121.882,25.334,18.588,20.756,18.569,2142.079,2141.729,2141.729,0.041,0.36,26.794,0.774,24.457,1112.573,117.821,258.205,198.246,69.256,121.396,1427.57,239.337,281.731,335.18,170.893,114.719,64.327,185.628,11764.595,1955.898,1483.995,5271.145,4075.935,1326.613,761.428,415.425,459.976,1682.604,509.972,414.699,361.78,246.56,37.174,509.972,238.092,1047.343
Apr-01,450.591,80.652,74.02,55.033,67.054,145.688,64.998,80.69,96.336,11.752,17.54,24.202,17.274,2213.538,2213.13,2213.13,0.033,0.398,24.178,0.654,22.382,1096.434,121.777,258.452,156.869,66.373,129.466,1306.756,238.945,262.406,251.34,165.765,104.838,61.116,186.101,10373.165,1738.686,1400.973,4593.957,3440.186,1307.189,699.598,378.686,427.356,1559.226,508.583,360.761,332.33,218.16,29.813,508.583,225.688,873.23
May-01,444.861,86.296,70.642,58.272,57.399,154.044,64.294,89.75,109.587,13.104,18.691,21.114,19.501,2133.051,2132.665,2132.665,0.163,0.275,26.602,0.582,25.113,1110.22,139.538,281.78,157.052,65.113,136.106,1349.031,238.237,269.53,278.215,172.529,110.109,58.182,185.72,10009.883,1671.924,1396.434,4452.179,3379.366,1271.434,710.409,357.741,422.312,1556.526,486.091,374.465,292.083,257.279,32.499,486.091,231.829,827.656
Jun-01,429.009,88.087,65.171,51.872,52.158,163.503,66.089,97.413,106.047,15.925,15.402,25.28,15.126,2369.667,2368.994,2368.994,0.032,0.662,20.067,0.508,18.261,1009.409,119.006,247.142,146.869,67.196,129.626,1269.712,214.539,252.031,266.559,174.362,106.493,62.198,160.57,10333.418,1731.745,1348.586,4480.48,3413.54,1211.373,700.481,350.665,396.22,1548.895,483.041,329.737,322.829,267.798,38.433,483.041,259.667,912.861
Jul-01,450.31,96.631,78.418,45.051,49.534,178.77,83.625,95.145,99.865,11.164,17.719,19.623,17.066,2549.592,2549.078,2549.078,0.057,0.474,20.983,0.661,19.471,1006.634,133.898,232.417,156.67,59.896,123.234,1267.406,207.45,257.36,244.065,184.581,106.751,67.822,159.638,9999.878,1616.855,1351.567,4235.792,3123.56,1249.577,740.661,388.723,425.652,1604.612,474.977,336.234,324.137,315.369,41.023,474.977,239.811,726.997
Aug-01,441.386,95.784,71.026,43.172,44.137,178.167,77.988,100.178,115.165,22.136,20.201,20.742,17.159,2594.429,2594.34,2594.34,0.044,0.085,23.255,0.559,22.32,1001.204,127.203,236.056,152.441,59.017,125.785,1232.17,220.622,264.701,214.894,170.02,99.164,71.872,152.411,9841.785,1604.67,1475.764,4309.273,3194.947,1274.886,777.392,378.607,424.124,1554.955,480.19,336.212,312.907,278.979,35.425,480.19,287.709,740.057
Sep-01,407.656,82.998,63.906,39.76,43.759,131.762,55.901,75.861,93.54,12.182,15.922,19.217,16.386,1843.245,1843.178,1843.178,0.051,0.047,27.006,0.387,25.844,825.753,100.027,176.821,134.593,56.44,101.701,1125.849,215.522,256.861,177.519,159.398,83.962,63.491,135.104,9808.265,1501.454,1375.086,4258.494,3265.986,1208.933,747.104,353.92,379.804,1449.022,459.81,312.28,317.024,247.334,24.767,459.81,317.35,680.082
Oct-01,442.904,88.403,67.934,49.462,57.371,157.491,75.354,82.137,113.639,22.306,18.34,20.952,17.051,2269.965,2269.883,2269.883,0.038,0.077,30.402,1.186,28.734,1082.108,127.249,300.99,163.796,63.233,125.9,1305.832,253.617,271.551,248.41,176.902,92.783,71.285,152.549,10857.687,1673.212,1599.885,4407.762,3242.967,1406.394,818.514,393.649,448.295,1554.59,486.317,355.037,323.44,246.535,31.042,486.317,258.752,734.166
Nov-01,454.857,94.836,68.936,57.685,47.422,173.891,70.699,103.192,107.82,14.166,19.467,18.945,18.153,1970.228,1970.38,1970.38,0.071,0.159,24.746,0.846,22.743,946.766,116.018,179.775,156.195,60.558,110.684,1218.832,233.173,272.743,198.229,188.578,90.886,65.295,135.91,9952.782,1674.317,1555.384,4168.41,3121.2,1450.9,789.4,369.2,409.3,1506.599,475.653,340.576,315.133,233.718,37.382,475.653,211.558,703.5
Dec-01,469.687,100.3,76.582,57.295,43.579,177.993,73.966,104.027,102.049,15.784,16.004,20.463,17.926,1487.955,1487.704,1487.704,0.094,0.242,26.13,0.876,24.031,937.045,94.749,169.635,144.241,60.424,111.779,1191.289,232.528,251.564,234.256,165.911,96.207,57.992,119.61,9347.318,1675.813,1466.002,4170.939,3188.8,1357.6,760.6,353.1,375.9,1515.708,438.949,389.961,283.483,264.134,33.188,438.949,268.817,774.7
Jan-02,491.46,106.699,92.394,51.843,52.027,152.025,65.324,86.701,107.654,10.509,26.009,19.377,21.173,1878.902,1878.779,1878.779,0.046,0.277,34.118,0.297,32.341,962.087,128.965,207.913,151.621,62.038,108.597,1231.721,215.422,273.032,233.845,194.303,107.045,48.075,126.176,9169.268,1578.369,1439.901,4064.72,3107.8,1393.5,723.2,333.8,375.6,1457.865,457.185,309.837,259.137,277.392,39.238,457.185,424.431,642.7
Feb-02,369.501,76.268,52.907,45.125,40.249,139.402,60.587,78.816,83.836,11.32,20.673,12.816,14.487,1766.878,1766.815,1766.815,0.013,0.085,28.542,0.755,26.354,897.989,119.828,182.197,144.596,49.543,102.124,1076.149,178.263,221.107,280.547,135.217,83.884,48.547,103.656,8924.091,1456.543,1203.822,3834.629,2939.6,1188.2,614.3,320.1,355.2,1174.18,357.511,293.274,238.627,181.544,23.067,357.511,356.119,607.3
Mar-02,428.022,86.286,62.326,51.78,55.091,146.281,67.713,78.569,105.098,17.087,23.761,18.11,17.555,2050.764,2050.685,2050.685,0.032,0.152,30.586,0.654,29.467,1038.925,134.533,221.885,159.837,64.17,122.491,1261.037,233.21,264.988,244.989,176.316,104.652,59.299,142.29,10700.439,1841.097,1567.44,4638.643,3589.2,1548.9,775.8,366.7,417,1424.757,461.71,356.006,292.735,196.81,25.978,461.71,361.747,795.7
Apr-02,452.427,87.648,66.02,60.735,64.592,149.108,51.256,97.852,115.845,16.802,27.283,18.8,19.217,2455.444,2455.108,2455.108,0.035,0.331,29.965,1.397,27.788,1063.212,114.132,219.454,169.402,72.206,131.195,1372.283,209.513,302.742,301.35,172.825,108.538,72.169,170.69,10571.128,1665.93,1493.375,4653.949,3519.8,1469.2,727.4,411.8,438.5,1569.451,526.823,383.045,310.182,215.079,33.871,526.823,400.89,676.2
